sep=;
Zeit;MSCI AC World Index
31.10.2005 00:00:00;104,86
01.11.2005 00:00:00;104,917
02.11.2005 00:00:00;105,252
03.11.2005 00:00:00;106,406
04.11.2005 00:00:00;107,638
07.11.2005 00:00:00;108,003
08.11.2005 00:00:00;108,11
09.11.2005 00:00:00;108,31
10.11.2005 00:00:00;108,581
11.11.2005 00:00:00;109,51
14.11.2005 00:00:00;109,326
15.11.2005 00:00:00;109,106
16.11.2005 00:00:00;109,227
17.11.2005 00:00:00;109,819
18.11.2005 00:00:00;110,528
21.11.2005 00:00:00;110,811
22.11.2005 00:00:00;111,157
23.11.2005 00:00:00;111,192
24.11.2005 00:00:00;111,19
25.11.2005 00:00:00;111,752
28.11.2005 00:00:00;110,80
29.11.2005 00:00:00;110,986
30.11.2005 00:00:00;110,218
01.12.2005 00:00:00;112,084
02.12.2005 00:00:00;112,796
05.12.2005 00:00:00;112,183
06.12.2005 00:00:00;112,326
07.12.2005 00:00:00;112,49
08.12.2005 00:00:00;111,504
09.12.2005 00:00:00;111,743
12.12.2005 00:00:00;111,329
13.12.2005 00:00:00;111,913
14.12.2005 00:00:00;111,511
15.12.2005 00:00:00;111,731
16.12.2005 00:00:00;111,456
19.12.2005 00:00:00;111,252
20.12.2005 00:00:00;112,125
21.12.2005 00:00:00;113,152
22.12.2005 00:00:00;113,066
23.12.2005 00:00:00;113,152
26.12.2005 00:00:00;113,222
27.12.2005 00:00:00;112,664
28.12.2005 00:00:00;112,45
29.12.2005 00:00:00;113,063
30.12.2005 00:00:00;112,783
02.01.2006 00:00:00;112,901
03.01.2006 00:00:00;113,163
04.01.2006 00:00:00;113,396
05.01.2006 00:00:00;113,414
06.01.2006 00:00:00;114,015
09.01.2006 00:00:00;114,868
10.01.2006 00:00:00;114,466
11.01.2006 00:00:00;114,843
12.01.2006 00:00:00;115,133
13.01.2006 00:00:00;114,702
16.01.2006 00:00:00;114,384
17.01.2006 00:00:00;113,816
18.01.2006 00:00:00;112,514
19.01.2006 00:00:00;113,454
20.01.2006 00:00:00;112,457
23.01.2006 00:00:00;111,102
24.01.2006 00:00:00;111,465
25.01.2006 00:00:00;111,819
26.01.2006 00:00:00;112,808
27.01.2006 00:00:00;114,764
30.01.2006 00:00:00;115,252
31.01.2006 00:00:00;114,873
01.02.2006 00:00:00;115,423
02.02.2006 00:00:00;114,638
03.02.2006 00:00:00;114,661
06.02.2006 00:00:00;115,137
07.02.2006 00:00:00;114,644
08.02.2006 00:00:00;114,452
09.02.2006 00:00:00;114,955
10.02.2006 00:00:00;115,149
13.02.2006 00:00:00;114,659
14.02.2006 00:00:00;115,618
15.02.2006 00:00:00;115,561
16.02.2006 00:00:00;116,375
17.02.2006 00:00:00;116,014
20.02.2006 00:00:00;115,885
21.02.2006 00:00:00;116,338
22.02.2006 00:00:00;117,008
23.02.2006 00:00:00;116,891
24.02.2006 00:00:00;117,547
27.02.2006 00:00:00;118,196
28.02.2006 00:00:00;116,669
01.03.2006 00:00:00;117,204
02.03.2006 00:00:00;116,567
03.03.2006 00:00:00;116,018
06.03.2006 00:00:00;115,761
07.03.2006 00:00:00;115,873
08.03.2006 00:00:00;115,21
09.03.2006 00:00:00;115,472
10.03.2006 00:00:00;116,29
13.03.2006 00:00:00;116,694
14.03.2006 00:00:00;116,844
15.03.2006 00:00:00;117,208
16.03.2006 00:00:00;116,434
17.03.2006 00:00:00;116,643
20.03.2006 00:00:00;116,774
21.03.2006 00:00:00;116,836
22.03.2006 00:00:00;117,224
23.03.2006 00:00:00;117,677
24.03.2006 00:00:00;117,837
27.03.2006 00:00:00;117,578
28.03.2006 00:00:00;116,569
29.03.2006 00:00:00;117,69
30.03.2006 00:00:00;117,299
31.03.2006 00:00:00;117,089
03.04.2006 00:00:00;117,784
04.04.2006 00:00:00;117,025
05.04.2006 00:00:00;117,442
06.04.2006 00:00:00;118,061
07.04.2006 00:00:00;118,165
10.04.2006 00:00:00;118,297
11.04.2006 00:00:00;117,226
12.04.2006 00:00:00;117,046
13.04.2006 00:00:00;117,37
14.04.2006 00:00:00;117,434
17.04.2006 00:00:00;116,024
18.04.2006 00:00:00;117,292
19.04.2006 00:00:00;117,681
20.04.2006 00:00:00;117,98
21.04.2006 00:00:00;118,213
24.04.2006 00:00:00;117,549
25.04.2006 00:00:00;117,063
26.04.2006 00:00:00;117,208
27.04.2006 00:00:00;116,632
28.04.2006 00:00:00;116,035
01.05.2006 00:00:00;116,011
02.05.2006 00:00:00;116,698
03.05.2006 00:00:00;116,425
04.05.2006 00:00:00;116,258
05.05.2006 00:00:00;117,061
08.05.2006 00:00:00;117,568
09.05.2006 00:00:00;117,475
10.05.2006 00:00:00;116,848
11.05.2006 00:00:00;115,692
12.05.2006 00:00:00;113,593
15.05.2006 00:00:00;112,952
16.05.2006 00:00:00;112,533
17.05.2006 00:00:00;111,186
18.05.2006 00:00:00;109,878
19.05.2006 00:00:00;110,494
22.05.2006 00:00:00;108,129
23.05.2006 00:00:00;108,433
24.05.2006 00:00:00;108,441
25.05.2006 00:00:00;109,322
26.05.2006 00:00:00;111,001
29.05.2006 00:00:00;110,903
30.05.2006 00:00:00;108,464
31.05.2006 00:00:00;108,961
01.06.2006 00:00:00;109,944
02.06.2006 00:00:00;109,962
05.06.2006 00:00:00;108,529
06.06.2006 00:00:00;107,898
07.06.2006 00:00:00;107,435
08.06.2006 00:00:00;106,586
09.06.2006 00:00:00;107,216
12.06.2006 00:00:00;106,506
13.06.2006 00:00:00;104,367
14.06.2006 00:00:00;104,538
15.06.2006 00:00:00;106,70
16.06.2006 00:00:00;106,828
